ru,kk,где
"Кабель плотно сидит в гнезде антенны?","Кабель антенна ұясына мықтап кірген бе?","Каналы, кнопки, бегущая строка"
"Не показывает один канал или все сразу?","Бір арна көрсетпей ме, әлде бәрі бірден бе?","Каналы, кнопки, бегущая строка"
"Вызвать мастера","Шебер шақыру","Каналы, кнопки, бегущая строка"
"Предупреждение","Ескерту","Каналы, кнопки, бегущая строка"
"Три часа шортсов подряд сушат мозг. Это не медицинский факт. Это жизненный опыт.","Қатарынан үш сағат шортс миды кептіреді. Бұл медициналық факт емес. Бұл өмірлік тәжірибе.","Каналы, кнопки, бегущая строка"
"Вы на этом сайте уже","Сіз бұл сайттасыз:","Каналы, кнопки, бегущая строка"
"Попыток листать:","Ақтаруға әрекет:","Каналы, кнопки, бегущая строка"
"Уважаем.","Құрметтейміз.","Каналы, кнопки, бегущая строка"
"Рефлекс, мы понимаем.","Рефлекс, түсінеміз.","Каналы, кнопки, бегущая строка"
"Это уже привычка.","Бұл енді әдет.","Каналы, кнопки, бегущая строка"
"Вам точно нужен телевизор.","Сізге теледидар анық керек.","Каналы, кнопки, бегущая строка"
"Да, вы, скорее всего, пришли сюда из Инстаграма. Мы оценили иронию.","Иә, сіз мұнда, сірә, Инстаграмнан келдіңіз. Ирониясын бағаладық.","Каналы, кнопки, бегущая строка"
"Тоже вариант. Тогда хотя бы прогуляйтесь.","Бұл да жол. Онда кем дегенде серуендеп келіңіз.","Каналы, кнопки, бегущая строка"
"WhatsApp [НОМЕР НЕ ЗАДАН] и телефон [НОМЕР НЕ ЗАДАН] работают и с выключенным телевизором.","WhatsApp [НӨМІР БЕРІЛМЕГЕН] мен телефон [НӨМІР БЕРІЛМЕГЕН] теледидар өшік тұрса да жұмыс істейді.","Каналы, кнопки, бегущая строка"
"Чтобы включить, нажмите кнопку питания ещё раз.","Қосу үшін қуат батырмасын тағы басыңыз.","Каналы, кнопки, бегущая строка"
"ЗВУК","ДЫБЫС","Каналы, кнопки, бегущая строка"
"ВКЛ","ҚОСУ","Каналы, кнопки, бегущая строка"
"ВЫКЛ","ӨШІРУ","Каналы, кнопки, бегущая строка"
"Крутите ручку или свайпайте по экрану. Клац переключает канал.","Тұтқаны бұраңыз немесе экранды сипаңыз. Шырт — арна ауысады.","Каналы, кнопки, бегущая строка"
"главный","басты","Каналы, кнопки, бегущая строка"
"подключить","қосылу","Каналы, кнопки, бегущая строка"
"родителям","ата-анаға","Каналы, кнопки, бегущая строка"
"ремонт","жөндеу","Каналы, кнопки, бегущая строка"
"важное","маңызды","Каналы, кнопки, бегущая строка"
"эхо эфира","жаңғырық","Каналы, кнопки, бегущая строка"
"позвонить","қоңырау","Каналы, кнопки, бегущая строка"
"НОЧЬ","ТҮН","Каналы, кнопки, бегущая строка"
"ГЛАВНЫЙ","БАСТЫ","Каналы, кнопки, бегущая строка"
"ПОДКЛЮЧИТЬ","ҚОСЫЛУ","Каналы, кнопки, бегущая строка"
"РОДИТЕЛЯМ","АТА-АНАҒА","Каналы, кнопки, бегущая строка"
"РЕМОНТ","ЖӨНДЕУ","Каналы, кнопки, бегущая строка"
"ВАЖНОЕ","МАҢЫЗДЫ","Каналы, кнопки, бегущая строка"
"WHATSAPP: НОМЕР НЕ ЗАДАН","WHATSAPP: НӨМІР БЕРІЛМЕГЕН","Каналы, кнопки, бегущая строка"
"ТЕЛЕФОН: НОМЕР НЕ ЗАДАН","ТЕЛЕФОН: НӨМІР БЕРІЛМЕГЕН","Каналы, кнопки, бегущая строка"
"ЗАЯВКА: ФОРМА ЕЩЁ НЕ ПОДКЛЮЧЕНА","ӨТІНІМ: ФОРМА ӘЛІ ҚОСЫЛМАҒАН","Каналы, кнопки, бегущая строка"
"Переключатель каналов","Арна ауыстырғыш","Каналы, кнопки, бегущая строка"
"Громкость","Дыбыс деңгейі","Каналы, кнопки, бегущая строка"
"Питание","Қуат","Каналы, кнопки, бегущая строка"
"konaev.tv · КОНАЕВ · КАБЕЛЬНОЕ","konaev.tv · ҚОНАЕВ · КАБЕЛЬДІК","Каналы, кнопки, бегущая строка"
"Не просит пароль. Не предлагает подписку.","Құпиясөз сұрамайды. Жазылым ұсынбайды.","Каналы, кнопки, бегущая строка"
"У фильма есть сюжет. И конец.","Фильмнің сюжеті бар. Соңы да бар.","Каналы, кнопки, бегущая строка"
"Алгоритм не знает, чего вы хотите. Зато есть пульт.","Алгоритм не қалайтыныңызды білмейді. Есесіне пульт бар.","Каналы, кнопки, бегущая строка"
"Листать нечего. Придётся смотреть.","Ақтаратын ештеңе жоқ. Көруге тура келеді.","Каналы, кнопки, бегущая строка"
"Обновление не требуется. Никогда.","Жаңарту қажет емес. Ешқашан.","Каналы, кнопки, бегущая строка"
"Нет алгоритмов, которые выясняют, чем вы интересуетесь.","Немен қызығатыныңызды анықтайтын алгоритм жоқ.","Каналы, кнопки, бегущая строка"
"Не подглядывает за вами.","Сізді аңдымайды.","Каналы, кнопки, бегущая строка"
"Не слушает ваши разговоры.","Әңгімелеріңізді тыңдамайды.","Каналы, кнопки, бегущая строка"
"Эхо эфира","Жаңғырық","Канал «Эхо эфира»"
"Пока вы листали ленту, в мире:","Сіз лента ақтарып отырғанда, әлемде:","Канал «Эхо эфира»"
"Ещё эхо","Тағы жаңғырық","Канал «Эхо эфира»"
"На сегодня эха хватит.","Бүгінге жаңғырық жетеді.","Канал «Эхо эфира»"
"Мир подождёт. Телевизор тоже.","Әлем күте тұрады. Теледидар да.","Канал «Эхо эфира»"
"На главный","Басты арнаға","Канал «Эхо эфира»"
"км от Конаева","км Қонаевтан","Канал «Эхо эфира»"
"свет долетел бы за","жарық жетер еді:","Канал «Эхо эфира»"
"совсем рядом","жап-жақын","Канал «Эхо эфира»"
"прямо здесь","дәл осында","Канал «Эхо эфира»"
"далеко, но долетело","алыс, бірақ жетті","Канал «Эхо эфира»"
"ВЛАДЕЛЕЦ В ЭФИРЕ","ИЕСІ ЭФИРДЕ","Канал «Эхо эфира»"
"Заявки принимаем как обычно. Перезвонит после боя.","Өтінімдерді әдеттегідей қабылдаймыз. Ойыннан кейін хабарласады.","Канал «Эхо эфира»"
"Здесь будет трансляция.<br>Пока владелец не нажал кнопку, это макет.","Мұнда трансляция болады.<br>Иесі батырманы басқанша, бұл макет.","Канал «Эхо эфира»"
"осталось на сегодня:","бүгінге қалды:","Канал «Эхо эфира»"
"ЭХО ЭФИРА","ЖАҢҒЫРЫҚ","Канал «Эхо эфира»"
